Rank1, Rank2, Rank3, Rank4, Rank5, Rank6, Rank7, Rank8, Rank9, Rank10, Rank11, Rank12, Rank13, Rank14, Rank15, Rank16, Rank17, Rank18, Rank19, Rank20, Rank21, Rank22, Rank23, Rank23, Rank24, Rank25, Rank26, Rank27, Rank28, Rank29
24,14,12,13,25,26,30,11,7,3,16,22,6,21,27,20,5,18,28,15,17,23,29,19,2,9,10,8,4,1
24,3,12,6,15,7,20,29,18,25,8,30,26,22,5,9,23,19,21,11,10,2,13,14,17,16,28,27,4,1
12,24,3,6,21,22,8,9,7,25,26,29,10,23,13,16,20,28,17,19,15,14,2,27,4,11,18,5,30,1
3,12,24,20,28,21,25,9,26,8,5,7,22,27,6,14,11,10,29,13,15,17,23,30,19,18,16,4,2,1
12,24,3,19,6,17,26,16,27,20,21,9,18,5,10,7,23,4,14,28,11,15,25,8,13,22,29,30,2,1
12,24,3,6,27,15,13,23,30,8,20,21,25,14,17,18,10,5,28,9,22,19,16,2,4,11,29,7,26,1
24,12,3,20,28,21,27,26,14,25,29,22,30,9,7,17,10,11,13,18,15,19,23,6,8,16,4,2,5,1
24,12,3,21,27,19,17,20,25,9,11,26,8,13,7,28,22,10,6,14,23,29,30,16,18,15,5,2,4,1
24,12,6,3,26,22,28,21,23,13,11,30,14,25,29,27,10,20,5,19,2,7,9,8,17,15,16,18,4,1
24,15,23,6,28,3,8,26,18,11,21,14,9,27,12,22,17,7,16,25,29,20,13,30,4,19,10,5,2,1
12,24,3,6,8,4,30,2,27,21,15,10,25,7,17,29,23,28,18,14,16,20,26,19,11,22,5,13,9,1
12,24,3,6,15,20,21,22,8,30,17,26,9,25,16,28,23,29,5,2,11,18,27,7,19,14,13,10,4,1
12,24,3,6,8,21,30,25,22,15,16,9,19,2,17,23,14,26,27,28,20,11,4,18,10,29,5,7,13,1
12,24,3,30,13,28,22,14,21,16,19,15,8,25,23,27,29,17,10,20,11,5,26,18,9,6,4,7,2,1
3,12,24,11,6,15,8,26,21,19,22,27,9,17,30,16,23,10,28,25,29,7,18,4,14,5,13,20,2,1
12,24,3,6,2,28,19,8,22,23,27,17,25,26,30,15,29,9,11,20,14,13,21,18,16,5,10,7,4,1
12,3,24,23,6,21,16,7,8,11,2,30,10,14,9,5,15,29,25,13,28,27,19,18,17,20,26,22,4,1
12,24,3,6,8,15,11,14,2,21,26,9,16,13,25,29,23,28,19,4,10,27,17,30,22,20,7,5,18,1
12,24,3,6,30,26,14,8,15,28,20,29,9,25,11,27,22,16,23,21,4,2,19,13,17,10,7,18,5,1
12,24,3,6,8,28,27,21,25,19,23,14,17,22,15,20,29,5,26,4,13,9,30,11,18,16,2,10,7,1
12,24,3,20,6,22,8,11,14,9,15,19,23,13,26,16,28,21,25,29,2,17,27,10,7,5,30,4,18,1
12,24,3,6,21,8,7,9,28,15,2,26,22,16,20,23,25,30,13,17,27,14,29,19,4,11,5,18,10,1
12,24,3,30,6,23,28,15,21,9,14,13,25,19,11,8,4,29,17,22,26,27,16,20,18,10,5,7,2,1
12,3,24,6,25,15,22,28,16,26,8,2,21,19,20,11,7,18,23,14,13,17,29,9,27,10,4,30,5,1
12,24,3,20,27,29,28,15,8,9,21,11,6,17,23,22,13,14,26,30,4,16,25,7,18,19,10,5,2,1
12,24,3,22,30,8,14,29,26,25,21,15,9,4,20,28,19,11,27,13,23,17,18,6,16,7,10,5,2,1
24,12,3,22,6,8,26,9,20,5,16,27,25,15,28,13,11,21,19,23,7,18,29,30,14,17,2,4,10,1
12,24,3,26,22,7,20,15,30,8,25,13,21,28,10,9,19,2,5,14,17,23,29,6,27,18,4,16,11,1
24,12,3,6,7,19,18,4,25,8,26,21,13,20,28,27,10,23,5,15,29,30,16,9,11,14,17,22,2,1
12,24,3,28,17,6,16,20,26,30,27,15,23,14,21,22,25,18,5,8,29,4,13,2,19,9,11,7,10,1
3,12,24,4,6,29,26,30,2,8,15,25,23,14,28,7,21,16,22,27,11,20,13,19,10,17,18,5,9,1
3,12,24,8,9,29,21,14,25,27,15,20,11,4,23,5,10,17,22,13,6,19,18,30,2,7,28,26,16,1
24,12,8,3,4,6,2,28,14,7,21,17,25,30,11,19,18,9,13,22,10,16,26,27,29,15,23,5,20,1
24,12,6,8,3,4,21,28,22,15,29,30,7,26,10,23,17,20,14,11,19,25,5,13,18,27,9,16,2,1
24,12,6,3,8,28,21,25,15,10,7,14,2,30,18,29,16,23,19,13,22,4,27,17,5,26,11,20,9,1
12,3,15,24,30,9,21,4,7,23,10,16,25,29,17,2,11,6,18,19,27,22,13,8,14,28,20,26,5,1
